Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Sales Category,Profitable
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.00,41.91,16,Low,261.96
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.00,219.58,30,Medium,731.94
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.00,6.87,47,Low,14.62
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.58,5,0.45,-383.03,-40,Medium,526.67
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.37,2,0.20,2.52,11.25,Low,17.89
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.00,14.17,29,Low,48.86
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.00,1.97,27,Low,7.28
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.15,6,0.20,90.72,10,Medium,725.72
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.5,3,0.20,5.78,31.25,Low,14.8
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.00,34.47,30,Low,114.9
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.18,9,0.20,85.31,5,High,1364.95
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.42,4,0.20,68.36,7.5,Medium,729.14
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.55,3,0.20,5.44,35,Low,12.44
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.98,3,0.20,132.59,32.5,Low,326.38
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.80,-123.86,-180,Low,13.76
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.54,3,0.80,-3.82,-150,Low,0.51
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.00,13.32,2,Medium,665.88
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.00,9.99,18,Low,55.5
